player,team,position,x,y
Manvir Singh,ATK Mohun Bagan,Right Wing,87.5,69.7
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,87.5,71.2
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,77.1,63.0
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,22.9,51.1
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,29.4,45.9
Liston Colaco,ATK Mohun Bagan,Left Wing,33.2,8.9
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,72.8,47.4
David Joel Williams,ATK Mohun Bagan,Center Forward,56.1,40.4
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,48.0,53.8
Pritam Kotal,ATK Mohun Bagan,Right Back,17.2,54.5
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,105.9,37.0
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,11.6,73.1
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,14.6,44.0
Pritam Kotal,ATK Mohun Bagan,Right Back,9.7,54.5
Sandesh Jhingan,ATK Mohun Bagan,Right Center Back,8.6,53.8
Bijoy Varghese,Kerala Blasters,Right Center Back,42.2,62.4
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,51.2,65.6
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,47.3,70.1
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,46.7,68.8
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,57.2,60.3
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,112.3,50.2
David Joel Williams,ATK Mohun Bagan,Center Forward,79.6,59.8
Liston Colaco,ATK Mohun Bagan,Left Wing,84.6,14.3
Liston Colaco,ATK Mohun Bagan,Left Wing,92.5,22.6
Manvir Singh,ATK Mohun Bagan,Right Wing,93.7,56.4
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,79.8,72.2
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,74.9,62.0
Sahal Abdul Samad,Kerala Blasters,Right Midfield,99.7,49.2
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,34.5,18.3
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,86.0,63.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,79.2,49.2
Soraisham Sandeep Singh,Kerala Blasters,Left Back,8.8,25.6
Harmanjot Singh Khabra,Kerala Blasters,Right Back,49.7,71.8
Bijoy Varghese,Kerala Blasters,Right Center Back,9.7,61.8
Liston Colaco,ATK Mohun Bagan,Left Wing,113.0,18.1
Subhasish Bose,ATK Mohun Bagan,Left Back,100.0,20.0
Subhasish Bose,ATK Mohun Bagan,Left Back,102.1,25.8
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,89.5,31.8
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,78.8,35.0
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,6.5,33.1
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,8.6,19.2
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,113.6,56.9
Liston Colaco,ATK Mohun Bagan,Left Wing,63.2,3.4
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,35.1,37.2
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,32.8,35.4
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,19.7,27.5
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,86.9,27.8
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,81.5,27.8
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,67.6,64.1
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,58.0,38.7
Sahal Abdul Samad,Kerala Blasters,Right Midfield,55.0,77.2
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,28.7,34.8
Harmanjot Singh Khabra,Kerala Blasters,Right Back,14.4,60.1
Sahal Abdul Samad,Kerala Blasters,Right Midfield,16.7,62.2
Harmanjot Singh Khabra,Kerala Blasters,Right Back,18.0,64.6
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,37.9,76.1
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,74.1,51.1
David Joel Williams,ATK Mohun Bagan,Center Forward,72.1,58.1
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,69.4,57.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,65.5,10.0
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,67.6,19.6
Liston Colaco,ATK Mohun Bagan,Left Wing,90.3,29.9
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,68.3,56.6
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,62.7,59.2
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,61.9,54.7
Liston Colaco,ATK Mohun Bagan,Left Wing,67.0,10.4
Liston Colaco,ATK Mohun Bagan,Left Wing,27.7,58.8
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,16.1,14.7
David Joel Williams,ATK Mohun Bagan,Center Forward,73.0,69.0
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,69.8,62.8
David Joel Williams,ATK Mohun Bagan,Center Forward,57.4,72.0
Pritam Kotal,ATK Mohun Bagan,Right Back,49.0,73.5
Soraisham Sandeep Singh,Kerala Blasters,Left Back,65.9,5.5
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,68.5,7.6
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,55.7,58.5
Manvir Singh,ATK Mohun Bagan,Right Wing,62.3,73.9
Liston Colaco,ATK Mohun Bagan,Left Wing,65.7,3.6
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,49.7,24.3
Sahal Abdul Samad,Kerala Blasters,Right Midfield,26.8,13.2
David Joel Williams,ATK Mohun Bagan,Center Forward,101.2,68.0
David Joel Williams,ATK Mohun Bagan,Center Forward,101.9,72.2
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,102.3,35.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,98.0,59.0
Liston Colaco,ATK Mohun Bagan,Right Wing,24.0,22.2
Subhasish Bose,ATK Mohun Bagan,Left Back,12.0,31.6
Sahal Abdul Samad,Kerala Blasters,Right Midfield,84.7,75.0
Manvir Singh,ATK Mohun Bagan,Left Wing,96.5,15.3
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,31.3,54.1
Marko Lešković,Kerala Blasters,Left Center Back,16.9,62.2
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,64.2,26.7
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,100.4,58.1
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,110.2,46.8
David Joel Williams,ATK Mohun Bagan,Center Forward,75.6,43.8
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,39.8,35.0
David Joel Williams,ATK Mohun Bagan,Center Forward,85.0,45.7
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,96.5,12.8
Liston Colaco,ATK Mohun Bagan,Right Wing,30.6,69.7
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,42.2,7.2
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,31.7,45.5
Liston Colaco,ATK Mohun Bagan,Right Wing,31.7,65.2
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,44.6,64.5
Sandesh Jhingan,ATK Mohun Bagan,Right Center Back,21.7,52.8
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,13.7,49.8
Sahal Abdul Samad,Kerala Blasters,Right Midfield,59.3,48.5
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,31.3,45.5
Liston Colaco,ATK Mohun Bagan,Right Wing,102.1,4.4
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,101.9,12.6
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,103.2,4.4
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,100.0,23.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,70.6,5.1
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,71.9,9.2
Sahal Abdul Samad,Kerala Blasters,Right Midfield,75.1,69.2
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,74.9,68.8
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,79.6,68.8
Soraisham Sandeep Singh,Kerala Blasters,Left Back,92.9,17.8
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,76.4,37.8
Bijoy Varghese,Kerala Blasters,Right Center Back,58.4,59.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,56.6,32.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,54.1,31.2
Liston Colaco,ATK Mohun Bagan,Left Wing,93.6,7.7
Sandesh Jhingan,ATK Mohun Bagan,Right Center Back,51.4,31.7
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,38.2,44.9
Sahal Abdul Samad,Kerala Blasters,Right Midfield,76.4,66.4
Marko Lešković,Kerala Blasters,Left Center Back,44.4,22.7
Bijoy Varghese,Kerala Blasters,Right Center Back,24.7,20.8
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,19.9,9.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,19.9,21.4
Liston Colaco,ATK Mohun Bagan,Left Wing,107.2,5.4
Liston Colaco,ATK Mohun Bagan,Left Wing,112.3,6.9
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,31.8,33.0
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,56.8,71.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,77.7,3.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,76.1,8.5
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,65.3,20.8
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,90.9,18.2
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,90.6,4.5
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,83.2,6.6
Liston Colaco,ATK Mohun Bagan,Left Wing,39.4,11.0
Subhasish Bose,ATK Mohun Bagan,Left Back,42.3,5.7
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,61.1,68.0
Sahal Abdul Samad,Kerala Blasters,Right Midfield,50.7,71.7
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,65.5,68.8
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,59.6,76.2
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,67.1,62.2
Sandesh Jhingan,ATK Mohun Bagan,Right Center Back,43.8,53.3
Manvir Singh,ATK Mohun Bagan,Center Forward,70.0,9.2
Subhasish Bose,ATK Mohun Bagan,Left Back,12.3,20.5
Liston Colaco,ATK Mohun Bagan,Left Wing,30.1,8.7
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,78.7,64.1
Marko Lešković,Kerala Blasters,Left Center Back,45.0,17.5
Manvir Singh,ATK Mohun Bagan,Center Forward,75.4,65.6
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,47.0,44.1
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,69.7,40.4
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,64.7,37.2
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,69.7,33.0
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,64.4,65.6
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,59.0,32.2
Sahal Abdul Samad,Kerala Blasters,Right Midfield,63.8,40.7
Soraisham Sandeep Singh,Kerala Blasters,Left Back,41.8,4.7
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,75.9,75.1
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,69.7,75.7
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,74.4,76.6
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,85.6,44.0
Carl Gerard McHugh,ATK Mohun Bagan,Left Defensive Midfield,20.2,76.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,95.7,11.3
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,80.5,15.4
Sahal Abdul Samad,Kerala Blasters,Right Midfield,81.3,67.2
Sahal Abdul Samad,Kerala Blasters,Right Midfield,60.8,70.9
Ritwik Kumar Das,Jamshedpur,Left Wing,95.1,7.6
Bijoy Varghese,Kerala Blasters,Right Center Back,22.1,73.0
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,103.9,6.6
Sahal Abdul Samad,Kerala Blasters,Right Midfield,32.5,70.5
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,29.1,49.5
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,18.4,52.1
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,102.3,22.9
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,82.6,14.3
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,81.1,10.9
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,74.3,8.0
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,61.8,10.9
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,67.4,72.7
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,112.3,32.5
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,11.7,22.7
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,22.1,27.8
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,24.4,16.9
Bijoy Varghese,Kerala Blasters,Right Center Back,19.0,60.7
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,26.3,61.7
Sahal Abdul Samad,Kerala Blasters,Right Midfield,24.1,69.7
Sahal Abdul Samad,Kerala Blasters,Right Midfield,33.7,72.1
Sahal Abdul Samad,Kerala Blasters,Right Midfield,33.9,69.4
Bijoy Varghese,Kerala Blasters,Right Center Back,23.5,73.0
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,19.9,54.2
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,105.4,32.7
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,111.4,37.5
Bijoy Varghese,Kerala Blasters,Right Center Back,17.9,55.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,31.9,70.6
Soraisham Sandeep Singh,Kerala Blasters,Left Back,46.2,9.5
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,95.3,73.5
Manvir Singh,ATK Mohun Bagan,Center Forward,117.4,57.8
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,32.5,58.9
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,37.9,16.3
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,111.1,14.2
Sahal Abdul Samad,Kerala Blasters,Right Midfield,44.1,73.2
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,79.5,4.7
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,88.2,7.1
Sahal Abdul Samad,Kerala Blasters,Right Midfield,26.8,70.5
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,26.8,55.3
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,87.6,6.9
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,82.5,4.5
Roy Krishna,ATK Mohun Bagan,Right Wing,36.4,60.5
Sahal Abdul Samad,Kerala Blasters,Right Midfield,98.2,54.7
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,87.8,40.4
Soraisham Sandeep Singh,Kerala Blasters,Left Back,68.1,32.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,32.1,6.8
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,57.0,35.4
Sahal Abdul Samad,Kerala Blasters,Right Midfield,53.7,57.5
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,44.1,32.9
Sahal Abdul Samad,Kerala Blasters,Right Midfield,33.6,67.3
Lenny Rodrigues,ATK Mohun Bagan,Right Defensive Midfield,47.3,37.2
Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,82.4,24.8
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,54.2,24.3
Sahal Abdul Samad,Kerala Blasters,Right Midfield,111.9,60.3
Harmanjot Singh Khabra,Kerala Blasters,Right Back,73.4,68.8
Soraisham Sandeep Singh,Kerala Blasters,Left Back,21.7,4.9
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,18.5,9.6
Liston Colaco,ATK Mohun Bagan,Left Wing,93.1,18.3
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,32.6,61.3
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,46.3,42.7
Roy Krishna,ATK Mohun Bagan,Right Wing,94.6,47.4
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,34.7,16.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,29.4,9.1
Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,92.4,66.3
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,69.3,30.8
Joni Ensio Kauko,ATK Mohun Bagan,Left Defensive Midfield,73.2,36.7
Soraisham Sandeep Singh,Kerala Blasters,Left Back,22.7,3.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,15.5,11.9
Prasanth Karuthadathkuni,Kerala Blasters,Right Midfield,24.0,55.8
Liston Colaco,ATK Mohun Bagan,Left Wing,79.6,11.1
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,63.8,65.8
Roy Krishna,ATK Mohun Bagan,Right Wing,106.8,76.1
Manvir Singh,ATK Mohun Bagan,Center Forward,113.0,56.6
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,42.2,24.1
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,30.2,36.3
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,53.7,42.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,43.7,19.4
Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,66.4,22.4
Vincy Barretto,Kerala Blasters,Left Center Forward,54.8,56.2
Vincy Barretto,Kerala Blasters,Left Center Forward,49.0,44.9
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Defensive Midfield,93.3,31.6
Soraisham Sandeep Singh,Kerala Blasters,Left Back,28.7,28.8
Vincy Barretto,Kerala Blasters,Left Center Forward,24.9,4.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,13.7,2.5
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Defensive Midfield,114.5,61.8
Vincy Barretto,Kerala Blasters,Left Center Forward,25.3,16.8
Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,46.2,50.2
Joni Ensio Kauko,ATK Mohun Bagan,Left Defensive Midfield,54.8,39.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,67.7,23.0
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Defensive Midfield,46.0,53.0
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,68.5,9.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,51.2,8.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,42.6,4.2
Soraisham Sandeep Singh,Kerala Blasters,Left Back,29.6,5.1
Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,92.0,77.8
Marko Lešković,Kerala Blasters,Left Center Back,27.2,13.4
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,30.6,22.2
Harmanjot Singh Khabra,Kerala Blasters,Right Back,9.5,27.3
Prabhushkan Singh Gill,Kerala Blasters,Goalkeeper,2.4,26.9
Vincy Barretto,Kerala Blasters,Left Center Forward,20.2,19.4
Prasanth Karuthadathkuni,Kerala Blasters,Right Midfield,37.9,66.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,54.6,3.1
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,48.8,13.8
Vincy Barretto,Kerala Blasters,Left Center Forward,52.3,29.0
Manvir Singh,ATK Mohun Bagan,Center Forward,113.8,38.2
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,37.3,30.7
Prasanth Karuthadathkuni,Kerala Blasters,Right Midfield,49.0,39.5
Prasanth Karuthadathkuni,Kerala Blasters,Right Midfield,37.5,55.3
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,27.4,49.8
Sandesh Jhingan,ATK Mohun Bagan,Right Center Back,14.4,51.9
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,77.7,16.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,73.6,7.8
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,36.0,13.4
Vincy Barretto,Kerala Blasters,Left Center Forward,89.5,50.0
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,26.8,12.8
Liston Colaco,ATK Mohun Bagan,Left Wing,113.6,13.9
Joni Ensio Kauko,ATK Mohun Bagan,Left Defensive Midfield,98.6,43.4
José Luis Espinosa Arroyo,ATK Mohun Bagan,Left Center Back,84.7,46.6
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,26.6,46.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,26.4,36.3
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,46.3,40.8
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Defensive Midfield,70.2,50.2
Vincy Barretto,Kerala Blasters,Left Center Forward,90.3,6.6
Manvir Singh,ATK Mohun Bagan,Center Forward,42.4,74.8
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,80.8,32.2
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,64.3,32.6
Nikhil Poojary,Hyderabad,Right Wing,57.8,41.8
Rohit Danu,Hyderabad,Left Wing,33.9,4.1
Akash Mishra,Hyderabad,Left Back,35.6,13.4
Rohit Danu,Hyderabad,Left Wing,35.2,13.0
Rohit Danu,Hyderabad,Left Wing,33.5,4.1
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,36.0,11.0
Joel Joseph Chianese,Hyderabad,Center Attacking Midfield,108.7,34.9
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,107.9,59.6
Makan Winkle Chote,Goa,Right Wing,104.5,23.9
Nikhil Poojary,Hyderabad,Right Wing,36.6,67.6
Joel Joseph Chianese,Hyderabad,Center Attacking Midfield,44.1,58.7
Juan Antonio González Fernández,Hyderabad,Left Center Back,35.1,39.3
Akash Mishra,Hyderabad,Left Back,30.8,10.7
Rohit Danu,Hyderabad,Left Wing,37.6,16.2
Bartholomew Owogbalor Ogbeche,Hyderabad,Center Forward,48.3,13.9
Joel Joseph Chianese,Hyderabad,Center Attacking Midfield,99.9,28.0
Makan Winkle Chote,Goa,Right Wing,106.4,51.2
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,38.1,61.4
Makan Winkle Chote,Goa,Right Wing,112.2,29.6
Princeton Rebello,Goa,Right Defensive Midfield,49.7,24.6
Saviour Gama,Goa,Left Back,1.0,12.3
Leander D''Cunha,Goa,Right Back,11.2,67.3
Joel Joseph Chianese,Hyderabad,Center Attacking Midfield,106.8,32.8
Konsham Chinglensana Singh,Hyderabad,Right Center Back,67.6,27.4
Akash Mishra,Hyderabad,Left Back,34.5,8.2
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,33.7,18.9
Makan Winkle Chote,Goa,Right Wing,83.7,61.4
Asish Rai,Hyderabad,Right Back,38.3,69.7
Asish Rai,Hyderabad,Right Back,12.9,67.0
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,24.9,64.9
Rohit Danu,Hyderabad,Left Wing,98.7,18.7
Makan Winkle Chote,Goa,Right Wing,36.4,76.8
Makan Winkle Chote,Goa,Right Wing,20.4,77.1
Saviour Gama,Goa,Left Back,8.1,28.7
Asish Rai,Hyderabad,Right Back,103.3,69.9
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,23.3,13.3
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,27.7,9.6
Joel Joseph Chianese,Hyderabad,Center Attacking Midfield,99.7,71.3
Asish Rai,Hyderabad,Right Back,83.9,64.1
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,113.1,38.1
Konsham Chinglensana Singh,Hyderabad,Right Center Back,6.6,68.9
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,31.9,18.8
Nikhil Poojary,Hyderabad,Right Wing,24.9,65.1
Joel Joseph Chianese,Hyderabad,Center Attacking Midfield,37.9,73.4
Joel Joseph Chianese,Hyderabad,Center Attacking Midfield,35.4,68.9
Bartholomew Owogbalor Ogbeche,Hyderabad,Center Forward,107.6,33.2
Princeton Rebello,Goa,Right Defensive Midfield,48.9,63.7
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,72.9,74.1
Rohit Danu,Hyderabad,Left Wing,66.6,4.1
Rohit Danu,Hyderabad,Left Wing,75.5,7.4
Joel Joseph Chianese,Hyderabad,Center Attacking Midfield,52.4,36.0
Akash Mishra,Hyderabad,Left Back,5.2,14.3
Makan Winkle Chote,Goa,Right Wing,64.1,45.2
Asish Rai,Hyderabad,Right Back,99.5,74.9
Konsham Chinglensana Singh,Hyderabad,Right Center Back,82.2,67.0
Nikhil Poojary,Hyderabad,Right Wing,106.0,70.7
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,102.6,69.9
Bartholomew Owogbalor Ogbeche,Hyderabad,Center Forward,41.8,38.9
Asish Rai,Hyderabad,Right Back,28.3,69.9
Konsham Chinglensana Singh,Hyderabad,Right Center Back,20.6,53.9
Princeton Rebello,Goa,Right Defensive Midfield,82.0,63.3
Princeton Rebello,Goa,Right Defensive Midfield,42.7,78.9
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,46.2,71.2
Princeton Rebello,Goa,Right Defensive Midfield,39.5,71.9
Leander D''Cunha,Goa,Right Back,28.3,75.0
Rohit Danu,Hyderabad,Left Wing,110.1,8.0
Leander D''Cunha,Goa,Right Back,15.8,76.9
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,72.9,5.7
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,57.2,10.5
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,41.0,25.7
Joni Ensio Kauko,ATK Mohun Bagan,Center Attacking Midfield,43.5,14.7
Leander D''Cunha,Goa,Right Back,67.2,75.4
Leander D''Cunha,Goa,Right Back,73.1,72.3
Bartholomew Owogbalor Ogbeche,Hyderabad,Center Forward,108.3,39.5
Nikhil Poojary,Hyderabad,Right Wing,113.0,63.6
Konsham Chinglensana Singh,Hyderabad,Right Center Back,84.7,58.0
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,86.0,51.4
